Artist_Name,Track_Name,Class,Genre,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Mode,Liveness,Valence,Tempo_bpm,Duration_ms,Time_Signature
Courteeners,Not Nineteen Forever,6,Indie,32.0,0.406,0.916,-2.945,0.041,0.000181,1,0.0864,0.275,139.787,241453.0,4
Yung Baby Tate,I Am (feat. Flo Milli),5,HipHop,73.0,0.932,0.835,-3.905,0.156,0.105,1,0.0847,0.926,144.02,182465.0,4
Lotte Kestner,Halo,0,Acoustic/Folk,56.0,0.576,0.121,-17.343,0.036,0.952,1,0.1,0.063,116.826,4.49866667,4
Dudu Tassa,◊ô◊©◊®,10,Rock,19.0,0.334,0.306,-9.242,0.0299,0.951,0,0.181,0.152,99.477,140547.0,4
Meek Mill,Going Bad (feat. Drake),9,Pop,81.0,0.889,0.496,-6.365,0.0905,0.259,0,0.252,0.544,86.003,180522.0,4
Little Sonny,The Creeper Returns,2,Blues,15.0,0.443,0.704,-5.695,0.0574,0.347,1,0.388,0.851,183.416,253733.0,4
Metric,Combat Baby,1,Alt Music,51.0,0.649,0.914,-6.199,0.0455,0.00573,1,0.0997,0.739,139.125,209760.0,4
John Mayall & The Bluesbreakers,Hideaway - Mono Instrumental,2,Blues,49.0,0.369,0.759,-4.718,0.0361,0.000815,1,0.329,0.868,132.281,193560.0,4
Mono Death,–õ–µ—Ç–æ,6,Indie,30.0,0.532,0.582,-7.804,0.0321,0.188,1,0.108,0.366,150.124,216059.0,4
Mukesh,Sab Kuchh Seekha Ham Ne,3,Bollywood,23.0,0.581,0.543,-11.163,0.0385,0.473,1,0.448,0.755,98.354,3.646,4
Republica,Ready to Go,1,Alt Music,49.0,0.559,0.952,-4.68,0.0544,0.000242,1,0.204,0.243,130.047,301533.0,4
Ambient Jazz Ensemble,Aura,6,Indie,27.0,0.365,0.305,-10.089,0.0276,0.11,0,0.11,0.0958,82.858,276027.0,3
Nicki Minaj,Fractions,5,HipHop,75.0,0.924,0.523,-6.362,0.132,0.011,1,0.17,0.144,131.892,181690.0,4
Semisonic,Closing Time,9,Pop,72.0,0.478,0.854,-5.454,0.0289,0.0204,1,0.115,0.274,91.854,274160.0,4
RJD2,Ghostwriter,9,Pop,62.0,0.747,0.68,-6.187,0.0346,0.0107,1,0.0964,0.594,93.804,317933.0,4
Merrell Fankhauser & H.M.S Bounty,A Visit With Ashiya,10,Rock,23.0,0.501,0.437,-14.575,0.0255,0.0688,1,0.349,0.406,91.145,209347.0,4
Swifta Beater,Yeah Yeah 2,5,HipHop,26.0,0.557,0.764,-7.928,0.117,0.00875,0,0.213,0.524,140.041,185213.0,4
Winter Jazz Trio,Peace,7,Instrumental,44.0,0.511,0.19,-15.757,0.0332,0.957,0,0.189,0.113,97.135,3.421316667,4
The Sundays,Here's Where The Story Ends,1,Alt Music,53.0,0.622,0.693,-8.619,0.0274,0.288,1,0.136,0.843,109.055,230040.0,4
Yehudit Ravitz,◊ê◊û◊®◊™ - ◊ê◊û◊®◊™,10,Rock,14.0,0.833,0.538,-12.777,0.033,0.272,1,0.285,0.896,119.586,224000.0,4
KISS,Rock And Roll All Nite,8,Metal,75.0,0.654,0.929,-5.906,0.0998,0.0468,1,0.0539,0.902,144.774,168840.0,4
Deftones,Swerve City,8,Metal,54.0,0.457,0.964,-2.963,0.0656,0.0001,1,0.67,0.372,111.972,164987.0,4
Backstreet Boys,Downpour,9,Pop,32.0,0.507,0.797,-3.333,0.0315,0.165,0,0.112,0.394,108.91,3.357783333,4
A Tribe Called Quest,We The People....,10,Rock,55.0,0.71,0.805,-5.471,0.0637,0.00909,1,0.141,0.897,92.601,172013.0,4
Nils Frahm,My Friend the Forest,1,Alt Music,51.0,0.253,0.0118,-33.838,0.042,0.952,1,0.245,0.149,82.843,316167.0,3
Eric B. & Rakim,Follow The Leader,5,HipHop,42.0,0.787,0.623,-18.273,0.178,0.19,0,0.107,0.818,109.906,336867.0,4
Pixies,Debaser,6,Indie,64.0,0.489,0.913,-9.152,0.0479,0.00015,0,0.0703,0.539,135.756,171747.0,4
"Alanis Morissette, Willie Nelson",On The Road Again,0,Acoustic/Folk,44.0,0.527,0.415,-8.065,0.0347,0.789,1,0.152,0.251,93.326,2.32178333,4
Kacey Musgraves,Rainbow,9,Pop,72.0,0.581,0.197,-7.697,0.0329,0.88,1,0.107,0.349,130.367,214293.0,4
Wax Tailor,I Had a Woman,2,Blues,34.0,0.569,0.566,-7.644,0.369,0.122,1,0.354,0.459,180.057,159554.0,4
Harriette,at least i'm pretty,6,Indie,53.0,0.86,0.422,-9.785,0.0296,0.541,1,0.139,0.523,99.958,106800.0,4
Blxst,Got It All,5,HipHop,62.0,0.605,0.583,-5.068,0.294,0.357,0,0.314,0.534,92.713,159130.0,4
Guru,Insert A (Mental Relaxation)/Medicine,5,HipHop,43.0,0.728,0.481,-13.32,0.179,0.088,1,0.309,0.652,82.944,259533.0,4
Pearl Jam,Alive,10,Rock,75.0,0.284,0.875,-6.069,0.0422,0.00752,0,0.402,0.595,75.009,340907.0,4
jxdn,Better Off Dead,5,HipHop,70.0,0.684,0.672,-5.762,0.0341,0.151,0,0.116,0.381,93.965,155674.0,4
Memphis La Blusera,La Bifurcada,2,Blues,46.0,0.471,0.957,-5.695,0.137,0.00498,1,0.819,0.17,112.815,457892.0,4
Tim Montana,Stronger Than You,10,Rock,50.0,0.66,0.619,-4.193,0.0265,0.665,0,0.0893,0.531,144.869,188400.0,4
Shokran,Creatures from the Mud,8,Metal,40.0,0.472,0.989,-3.127,0.119,5.48e-05,0,0.313,0.137,122.535,265714.0,4
The Robert Cray Band,All the Way,2,Blues,34.0,0.561,0.398,-12.848,0.0607,0.686,1,0.135,0.363,171.834,311667.0,4
The Cold Stares,In The Night Time,2,Blues,41.0,0.679,0.728,-9.478,0.0325,0.0795,1,0.151,0.748,120.014,188142.0,4
The Housemartins,Happy Hour,1,Alt Music,48.0,0.535,0.858,-11.109,0.0453,0.101,1,0.141,0.926,95.792,142093.0,4
Lata Mangeshkar,Tum Mujhse Door Chale Jana Na,3,Bollywood,6.0,0.309,0.258,-12.18,0.0458,0.99,0,0.136,0.157,77.03,4.55555,1
ShrekDiMC,◊¢◊ï◊ì,5,HipHop,27.0,0.655,0.846,-4.01,0.119,0.144,1,0.0517,0.618,195.901,210689.0,4
Disturbed,The Vengeful One,8,Metal,67.0,0.238,0.967,-2.602,0.136,0.000213,0,0.26,0.58,170.128,252003.0,4
Rich The Kid,Nasty (feat. Rubi Rose),5,HipHop,53.0,0.877,0.54,-7.398,0.391,0.0503,1,0.0883,0.544,158.07,185133.0,4
Little Milton,Grits Ain't Groceries (All Around The World),2,Blues,32.0,0.683,0.507,-14.429,0.0726,0.517,0,0.151,0.904,120.63,159920.0,4
Refused,Born On The Outs,1,Alt Music,44.0,0.615,0.821,-6.422,0.0647,0.00918,0,0.219,0.391,125.039,214760.0,4
Rat Tally,Shrug,1,Alt Music,26.0,0.446,0.373,-9.192,0.0312,0.0949,1,0.116,0.201,144.073,151257.0,4
Sir Sly,Material Boy,10,Rock,44.0,0.625,0.8,-4.385,0.0277,0.00271,1,0.0521,0.127,110.0,224625.0,4
Nego True,Pick Your Poison,5,HipHop,20.0,0.648,0.437,-13.245,0.368,0.849,0,0.0901,0.551,130.654,240020.0,3
Squeeze,Tempted,1,Alt Music,59.0,0.729,0.356,-13.743,0.0347,0.0916,0,0.052,0.392,95.026,240333.0,4
Outkast,ATLiens,5,HipHop,67.0,0.918,0.734,-2.832,0.269,0.0296,0,0.191,0.608,97.044,230693.0,4
Barbaro,Barbaro,0,Acoustic/Folk,46.0,0.467,0.329,-11.429,0.0295,0.662,1,0.096,0.362,108.777,3.43355,4
The Stone Roses,I Am the Resurrection - Remastered,10,Rock,58.0,0.357,0.866,-6.324,0.0411,0.00191,1,0.0815,0.721,129.071,492947.0,4
DBN Gogo,Khuza Gogo,9,Pop,58.0,0.632,0.541,-12.129,0.242,0.341,1,0.0937,0.484,113.007,380500.0,4
Chloe George,ghost town (voice memo),9,Pop,74.0,0.471,0.229,-6.504,0.0358,0.953,1,0.0909,0.358,68.41,2.2875,3
Paulo Mendonca,Going Up,2,Blues,40.0,0.613,0.793,-6.82,0.0666,0.0319,0,0.341,0.806,180.026,187532.0,4
Britney Spears,Better,9,Pop,36.0,0.657,0.824,-3.155,0.0347,0.0189,1,0.0859,0.76,96.996,3.16555,4
The Go Getters,Welcome to My Hell,10,Rock,43.0,0.583,0.92,-5.607,0.0948,0.202,0,0.0744,0.632,97.722,188480.0,4
"Louise Farrenc, David Berlin, Benjamin Martin","Cello Sonata in B-Flat Major, Op. 46: II. Andante sostenuto",7,Instrumental,37.0,0.252,0.034,-29.298,0.0407,0.971,1,0.112,0.147,118.01,5.53555,3
Omer Adam,◊®◊ó◊ï◊ß ◊û◊õ◊ï◊ú◊ù,9,Pop,45.0,0.804,0.492,-6.609,0.0511,0.674,0,0.0923,0.856,120.063,175213.0,4
The Kinks,All Day and All of the Night,10,Rock,68.0,0.551,0.86,-7.839,0.0796,0.262,1,0.0558,0.723,136.921,141507.0,4
Robert Finley,Country Boy,2,Blues,44.0,0.685,0.727,-7.619,0.0648,0.0431,1,0.102,0.731,143.551,344973.0,4
NOFX,Linewleum (feat. Avenged Sevenfold),10,Rock,49.0,0.489,0.953,-3.475,0.0607,2.3e-05,1,0.0408,0.354,99.939,199782.0,4
Exhorder,The Man That Never Was,8,Metal,40.0,0.476,0.984,-4.457,0.088,1.4e-05,1,0.363,0.351,93.992,203000.0,4
In Flames,The Truth,10,Rock,45.0,0.482,0.992,-4.001,0.0959,0.00179,0,0.198,0.186,125.065,184531.0,4
Scar Of The Sun,Inertia,8,Metal,31.0,0.474,0.907,-12.085,0.0548,3.62e-05,0,0.182,0.149,101.201,230187.0,3
The Dose,Cold Hands,10,Rock,36.0,0.61,0.678,-8.776,0.0326,0.0125,1,0.146,0.315,125.012,258425.0,4
"Black Country, New Road",Science Fair,6,Indie,48.0,0.555,0.667,-9.73,0.0626,0.0672,1,0.382,0.253,126.132,380093.0,4
Taylor Swift,Out Of The Woods,9,Pop,67.0,0.553,0.841,-6.937,0.0396,0.000743,1,0.341,0.338,92.008,235800.0,4
Lielle,◊™◊®◊©◊ï◊ù,6,Indie,24.0,0.768,0.598,-9.952,0.185,0.326,1,0.161,0.761,122.019,190940.0,4
Black Pumas,Black Moon Rising,2,Blues,51.0,0.538,0.605,-7.608,0.0368,0.128,0,0.151,0.729,158.181,221947.0,4
BLOXX,Off My Mind,6,Indie,35.0,0.568,0.741,-5.64,0.0395,0.0122,1,0.371,0.771,104.056,189466.0,4
Mem Shannon,Doing The Best That I Can,2,Blues,4.0,0.691,0.809,-5.338,0.0499,0.233,1,0.173,0.749,95.655,220333.0,4
Fall Out Boy,Beat It - Studio Version,10,Rock,54.0,0.56,0.93,-4.492,0.0661,0.0378,1,0.317,0.807,149.93,227880.0,4
Eels,Mr. E's Beautiful Blues - Remix,2,Blues,8.0,0.8,0.649,-8.248,0.0293,0.453,1,0.0804,0.864,114.074,234520.0,4
Belle Mt.,Hollow,10,Rock,58.0,0.415,0.23,-9.666,0.0499,0.803,1,0.0908,0.203,177.999,236627.0,3
"Scott Hamilton, Dena DeRose, Ignasi González, Jo Krause",Young and Foolish,7,Instrumental,48.0,0.456,0.276,-7.419,0.0316,0.965,1,0.0775,0.157,103.335,5.51025,4
Fugazi,Waiting Room,10,Rock,65.0,0.616,0.727,-8.176,0.0365,0.00401,0,0.157,0.54,92.259,173267.0,4
The Rasmus,In the Shadows,10,Rock,69.0,0.6,0.796,-4.481,0.0275,0.000109,1,0.484,0.75,105.991,257920.0,4
Chuck Berry,Sweet Little Sixteen,10,Rock,53.0,0.507,0.627,-7.838,0.0354,0.575,1,0.198,0.962,175.309,3.01245,4
Disturbed,Stricken,8,Metal,73.0,0.404,0.969,-2.938,0.195,8.51e-05,1,0.268,0.29,173.878,245227.0,4
Sinead O Brien,Kid Stuff - Edit,6,Indie,33.0,0.571,0.926,-3.246,0.15,0.00178,0,0.35,0.582,131.023,192035.0,4
Robben Ford,White Rock Beer...8 Cents,2,Blues,31.0,0.348,0.799,-6.018,0.0455,0.0781,0,0.178,0.564,107.979,353684.0,4
Jefferson Starship,Miracles,10,Rock,54.0,0.617,0.335,-15.914,0.0301,0.366,0,0.115,0.655,113.226,412040.0,4
Black Veil Brides,Lost It All,10,Rock,49.0,0.254,0.563,-7.495,0.0392,0.0895,0,0.195,0.0979,111.685,319947.0,4
Manfred Mann's Earth Band,Blinded By The Light,10,Rock,59.0,0.456,0.696,-10.0,0.0653,0.291,1,0.0853,0.508,142.156,428133.0,4
Fiona Apple,Criminal,10,Rock,62.0,0.595,0.804,-7.911,0.0326,0.0129,0,0.299,0.586,89.846,341533.0,4
Dream Wife,Hasta La Vista,1,Alt Music,36.0,0.929,0.626,-5.996,0.0383,0.0483,1,0.102,0.859,123.134,222215.0,4
Mohammed Rafi,Tumsa Nahin Dekha,3,Bollywood,22.0,0.756,0.526,-9.258,0.037,0.619,1,0.155,0.966,126.612,3.512216667,4
Childish Gambino,35.31,6,Indie,53.0,0.798,0.559,-10.868,0.0592,0.286,1,0.349,0.604,102.018,236507.0,4
Marcus King,Say You Will,2,Blues,41.0,0.437,0.82,-5.854,0.0341,0.079,0,0.633,0.634,107.088,234547.0,4
Loft Trio,Dave’s Waltz,7,Instrumental,53.0,0.467,0.157,-19.59,0.0354,0.939,1,0.148,0.153,90.97,4.41955,3
RINSE,Back Into Your Arms,6,Indie,37.0,0.5,0.794,-7.579,0.029,0.00478,1,0.0926,0.257,90.007,263801.0,4
The Cure,10:15 Saturday Night,10,Rock,49.0,0.651,0.409,-10.864,0.0879,0.00428,0,0.176,0.363,173.76,222093.0,4
Narkis,◊û◊û◊î ◊ê◊™◊î ◊ë◊ï◊®◊ó,5,HipHop,36.0,0.702,0.763,-5.237,0.0518,0.0175,0,0.189,0.6,103.004,223511.0,4
"Britney Spears, Ape Drums",Mood Ring (By Demand) - Ape Drums Remix,9,Pop,30.0,0.821,0.582,-3.908,0.0621,0.133,0,0.0527,0.88,104.991,3.644333333,4
Metallica,Fuel,8,Metal,67.0,0.49,0.951,-3.777,0.0477,2.02e-05,1,0.0314,0.589,106.946,269800.0,4
Borito,Song for Dawn,6,Indie,20.0,0.674,0.772,-8.414,0.0401,0.0101,1,0.15,0.928,134.979,185800.0,4
One Minute Silence,Rise And Shine,8,Metal,38.0,0.686,0.932,-5.562,0.0612,0.018,0,0.151,0.48,118.116,196133.0,4
Billie Marten,Human Replacement,6,Indie,28.0,0.533,0.663,-8.301,0.0341,0.237,0,0.0709,0.702,175.927,185627.0,4
Beck,Devils Haircut,1,Alt Music,51.0,0.686,0.729,-4.848,0.0298,0.175,1,0.137,0.79,123.546,192933.0,4
Ishman Bracey,Saturday Blues,2,Blues,30.0,0.643,0.0574,-17.999,0.0462,0.993,0,0.113,0.572,112.408,209267.0,4
The Black Keys,Ten Cent Pistol,2,Blues,50.0,0.59,0.551,-6.693,0.0305,0.25,0,0.111,0.304,105.482,269829.0,4
Jessica Andrews,Who I Am,4,Country,58.0,0.463,0.674,-5.422,0.0319,0.0115,1,0.123,0.259,84.039,4.2539,4
Josh Ritter,Old Black Magic,1,Alt Music,47.0,0.344,0.821,-6.377,0.0321,0.0164,1,0.131,0.761,205.418,286440.0,4
Travis Tritt,It's A Great Day To Be Alive,4,Country,71.0,0.595,0.653,-4.935,0.0265,0.246,1,0.264,0.542,128.93,4.02555,4
Finger Eleven,Paralyzer,10,Rock,72.0,0.644,0.939,-3.486,0.0456,0.157,0,0.233,0.861,106.031,208107.0,4
Scott Hamilton,Good Morning Heartache,7,Instrumental,45.0,0.526,0.17,-13.089,0.0411,0.823,0,0.114,0.18,117.414,5.368883333,4
Bryce Janey,Funky Guitar Blues,10,Rock,43.0,0.563,0.871,-5.825,0.029,0.000197,1,0.0928,0.517,114.894,261627.0,4
T Garcia,Poquito,9,Pop,54.0,0.844,0.785,-5.405,0.0833,0.343,0,0.505,0.454,99.992,171211.0,4
Jane's Addiction,Been Caught Stealing,10,Rock,57.0,0.639,0.929,-4.762,0.212,0.00326,1,0.242,0.688,103.758,214707.0,4
Big Homie Ty.Ni,Jelly,5,HipHop,62.0,0.886,0.708,-4.391,0.36,0.176,0,0.328,0.533,145.967,142808.0,4
Cash Cash,Too Late (feat. Wiz Khalifa & Lukas Graham),9,Pop,70.0,0.552,0.74,-2.335,0.124,0.074,1,0.113,0.601,97.049,193918.0,4
Jay Fendi,Lie To Me,5,HipHop,36.0,0.831,0.385,-10.151,0.248,0.73,1,0.117,0.502,137.954,125257.0,4
The Detroit Cobras,Cha Cha Twist,10,Rock,43.0,0.537,0.823,-5.874,0.0322,0.00784,1,0.122,0.759,132.241,151827.0,4
Eyal Golan,◊í◊ë◊® ◊û◊ê◊ï◊î◊ë,9,Pop,29.0,0.666,0.948,-2.709,0.0466,0.28,0,0.299,0.768,103.997,231467.0,4
Ariel View,Temporary,10,Rock,37.0,0.576,0.519,-8.847,0.0269,0.0839,1,0.266,0.546,110.07,214375.0,4
The Killers,Here With Me,10,Rock,59.0,0.5,0.731,-4.535,0.0312,0.192,1,0.158,0.112,135.97,292320.0,4
MARINA,Purge The Poison,9,Pop,70.0,0.581,0.822,-5.082,0.0591,0.0519,1,0.08,0.544,139.98,196573.0,4
Babyface Ray,Paperwork Party - Remix,5,HipHop,47.0,0.76,0.531,-8.728,0.298,0.276,0,0.15,0.508,100.027,202067.0,4
Pixies,Bone Machine,10,Rock,22.0,0.576,0.519,-13.799,0.0302,0.0652,1,0.937,0.658,112.105,197648.0,4
Le Tigre,Deceptacon,1,Alt Music,74.0,0.603,0.864,-3.341,0.0668,0.055,0,0.0986,0.616,160.488,184627.0,4
"Lata Mangeshkar, Padmini Kolhapure, Shivangi Kolhapure","Yaadon Ki Baaraat, Pt. 2",3,Bollywood,15.0,0.423,0.501,-10.4,0.0445,0.865,0,0.206,0.701,154.046,3.846666667,3
Crim,A Song and a Promise,8,Metal,22.0,0.428,0.987,-4.197,0.127,0.000534,0,0.227,0.139,96.9,209931.0,4
Kelvyn Boy,Tele,9,Pop,49.0,0.848,0.743,-7.095,0.0804,0.362,0,0.102,0.706,100.036,194400.0,4
◊°◊ú◊ò ◊í◊®◊ï◊ë,◊ë◊ê ◊ú◊ô◊î◊†◊ï◊™ - ◊®◊û◊ô◊ß◊°,5,HipHop,17.0,0.537,0.871,-2.89,0.328,0.283,0,0.132,0.811,86.331,220000.0,4
Flume,Voices,6,Indie,50.0,0.567,0.758,-3.998,0.095,0.0937,1,0.601,0.242,133.687,114645.0,4
Afterglow,Black Hole,8,Metal,44.0,0.26,0.901,-5.871,0.051,1.6e-05,1,0.314,0.218,90.369,242079.0,3
Masayoshi Fujita,Sadness - Carlos Cipa Rework,1,Alt Music,33.0,0.158,0.0356,-32.22,0.0419,0.975,1,0.156,0.0369,98.614,386085.0,1
Moshe Peretz,◊õ◊©◊ê◊™ ◊î◊ú◊õ◊™,9,Pop,25.0,0.782,0.502,-8.356,0.0366,0.694,0,0.124,0.397,109.052,213487.0,4
Balmorhea,The Myth,1,Alt Music,43.0,0.528,0.163,-19.696,0.0295,0.895,0,0.105,0.141,98.417,221797.0,4
Movement At Night,No Matter What,10,Rock,25.0,0.484,0.833,-5.453,0.0522,6.29e-05,1,0.0296,0.279,87.516,260250.0,4
Mike WiLL Made-It,"Perfect Pint (feat. Kendrick Lamar, Gucci Mane & Rae Sremmurd)",5,HipHop,60.0,0.741,0.562,-5.474,0.165,0.172,0,0.0751,0.292,180.068,240926.0,4
The Maine,Sticky,10,Rock,59.0,0.669,0.819,-4.716,0.0363,0.11,1,0.212,0.762,105.055,178901.0,4
Kelpe,All the Way Round - Edit,1,Alt Music,40.0,0.252,0.147,-19.74,0.0365,0.911,0,0.103,0.0317,108.025,270025.0,4
The Strokes,Heart In a Cage,10,Rock,59.0,0.418,0.857,-5.133,0.0404,2.73e-06,1,0.368,0.12,140.02,206173.0,4
Boy Bjorn,Too Young,10,Rock,36.0,0.624,0.613,-6.709,0.0262,0.409,1,0.386,0.808,76.002,192625.0,4
Alan Jackson,Drive (For Daddy Gene),4,Country,60.0,0.713,0.579,-8.066,0.0413,0.338,1,0.174,0.511,125.179,4.04555,4
Unprocessed,Exhale,8,Metal,29.0,0.339,0.984,-2.535,0.255,9.59e-05,1,0.262,0.374,142.385,207177.0,3
Finch,Letters To You,10,Rock,43.0,0.412,0.847,-3.948,0.0522,2.43e-05,1,0.101,0.377,117.96,199600.0,4
Big X,Mad Love,10,Rock,29.0,0.461,0.706,-6.34,0.0526,0.00373,1,0.324,0.24,126.387,148810.0,4
Death From Above 1979,One + One,10,Rock,49.0,0.508,0.797,-8.07,0.123,0.000457,1,0.095,0.516,149.969,226296.0,4
Harlott,Detritus of the Final Age,8,Metal,14.0,0.283,0.949,-5.636,0.107,1.79e-05,1,0.271,0.107,102.783,294240.0,3
Glen Campbell,Rhinestone Cowboy,4,Country,62.0,0.644,0.633,-8.006,0.0261,0.102,1,0.227,0.647,115.193,3.240883333,4
Sonic Boom,Almost Nothing Is Nearly Enough - Remix,6,Indie,11.0,0.193,0.738,-7.32,0.081,0.249,1,0.108,0.0694,111.535,478067.0,4
Anthrax,Bring The Noise,8,Metal,55.0,0.601,0.831,-8.582,0.17,0.00086,1,0.102,0.296,120.962,211787.0,4
≈™la,strawberry cheeks,9,Pop,49.0,0.623,0.445,-7.827,0.0331,0.716,1,0.21,0.393,90.065,134724.0,3
Porno for Pyros,Pets,10,Rock,57.0,0.578,0.515,-9.541,0.0347,0.05,1,0.119,0.302,112.879,216733.0,4
Kadinja,Stone of Mourning,8,Metal,34.0,0.376,0.987,-3.882,0.23,2.13e-05,1,0.179,0.274,75.052,219700.0,4
Blac Rabbit,Seize the Day,1,Alt Music,34.0,0.368,0.715,-7.718,0.0452,0.00394,1,0.313,0.498,146.105,302877.0,4
G. Love & Special Sauce,Go Crazy (feat. Keb' Mo'),2,Blues,25.0,0.741,0.789,-4.733,0.0594,0.183,1,0.162,0.863,95.986,220960.0,4
Afterglow,Ephemeral,8,Metal,42.0,0.54,0.934,-5.232,0.0612,3.26e-05,1,0.405,0.494,115.061,246000.0,4
James Arthur,Train Wreck - Acoustic,9,Pop,61.0,0.529,0.364,-8.112,0.0381,0.748,0,0.0913,0.384,75.024,209390.0,4
Knesiyat Hasechel,Lemaya Yesh Ekdach (Maya Has A Gun),10,Rock,31.0,0.594,0.772,-6.423,0.0288,0.0333,1,0.107,0.338,108.036,241787.0,4
U2,Vertigo,1,Alt Music,64.0,0.416,0.819,-3.974,0.0613,0.000138,1,0.147,0.632,140.083,193520.0,4
Bloc Party,Flux,10,Rock,54.0,0.49,0.963,-3.755,0.148,0.00052,0,0.055,0.317,152.029,216613.0,4
Gene Hart Trio,Dolphin Dance,7,Instrumental,36.0,0.473,0.258,-16.261,0.031,0.959,1,0.11,0.205,125.929,4.9,4
Bob Marley & The Wailers,Could You Be Loved,10,Rock,78.0,0.916,0.72,-8.548,0.1,0.36,1,0.0958,0.76,103.312,237000.0,4
"Maria Theresia von Paradis, Jian Wang, Göran Söllscher",Sicilienne (Arr. by Söllscher),7,Instrumental,18.0,0.331,0.0236,-27.06,0.0473,0.99,1,0.108,0.101,34.132,3.168,4
Electric Six,Danger! High Voltage - Soulchild Radio Mix,10,Rock,59.0,0.66,0.698,-4.722,0.0302,1.92e-05,0,0.0517,0.511,123.005,214600.0,4
Kalan.FrFr,Never Lose You,5,HipHop,56.0,0.561,0.598,-8.339,0.0882,0.395,0,0.108,0.477,97.697,181867.0,4
Jensen McRae,Immune,0,Acoustic/Folk,57.0,0.545,0.365,-8.97,0.0396,0.136,1,0.201,0.233,150.125,3.50276667,4
Larkin Poe,Tears Of Blue To Gold,2,Blues,36.0,0.56,0.801,-5.745,0.0557,0.0088,1,0.0789,0.566,140.095,192352.0,4
Luc Brooks,London Plane,7,Instrumental,55.0,0.463,0.108,-19.102,0.0419,0.975,0,0.125,0.159,114.066,3.328966667,4
Apoorva Krishna,Blossom,6,Indie,14.0,0.309,0.307,-9.591,0.0335,0.869,1,0.345,0.0392,103.553,358000.0,4
Glenn Astro,The Yancey,1,Alt Music,30.0,0.793,0.656,-9.665,0.0541,0.102,1,0.0902,0.588,123.021,269290.0,4
Lanai String Section,Escapes within,7,Instrumental,42.0,0.212,0.0284,-25.232,0.0453,0.87,0,0.0815,0.0391,88.931,1.4818,4
Champion Jack Dupree,"One Scotch, One Bourbon, One Beer - Bonus Track",2,Blues,33.0,0.432,0.667,-7.849,0.0439,0.127,1,0.181,0.907,173.727,254200.0,4
Penfold,M,10,Rock,27.0,0.264,0.927,-5.659,0.082,0.00395,1,0.0962,0.111,150.024,263440.0,4
Radiohead,Everything In Its Right Place,10,Rock,66.0,0.296,0.463,-11.412,0.0449,0.705,0,0.0954,0.0629,123.943,251427.0,5
Twenty One Pilots,Saturday,9,Pop,68.0,0.687,0.89,-5.99,0.0344,0.00396,1,0.0436,0.854,113.06,172232.0,4
Eliad,◊û◊ß◊°◊ô◊ß◊ï,9,Pop,26.0,0.723,0.854,-7.936,0.0585,0.00139,1,0.276,0.52,95.001,237584.0,4
Plini,Handmade Cities,8,Metal,44.0,0.588,0.755,-6.842,0.0434,0.0497,1,0.163,0.437,102.941,285040.0,4
Quaker City Night Hawks,Good Evening,2,Blues,42.0,0.527,0.606,-6.799,0.0305,0.0134,1,0.418,0.267,105.509,279107.0,4
Malkat Haplakat,◊û◊ô◊ú◊ô◊ï◊ü ◊§◊¢◊ù,6,Indie,16.0,0.604,0.598,-6.155,0.0268,0.00218,0,0.107,0.414,108.029,244987.0,4
Maximo Park,Books From Boxes,10,Rock,59.0,0.611,0.568,-6.142,0.032,0.0906,1,0.117,0.567,95.546,208653.0,4
Sarit Hadad,◊ú◊ï ◊ô◊î◊ô,9,Pop,13.0,0.385,0.479,-6.427,0.026,0.521,0,0.139,0.359,82.858,214307.0,4
Eric Gales,Southpaw Serenade (feat. Doyle Bramhall II),2,Blues,36.0,0.448,0.725,-5.883,0.0581,0.31,0,0.34,0.569,124.946,511427.0,3
Gemma Griffiths,Ndinewe,9,Pop,37.0,0.571,0.639,-6.242,0.0481,0.101,1,0.121,0.341,94.946,234424.0,4
Yehudit Ravitz,◊¢◊ô◊ü ◊í◊ì◊ô,10,Rock,28.0,0.527,0.0596,-19.036,0.0358,0.831,1,0.111,0.41,143.34,236693.0,4
Trophie,Recover,6,Indie,32.0,0.638,0.471,-8.565,0.0651,0.181,1,0.0619,0.24,129.973,206769.0,4
Scorpion Child,Acid Roulette,8,Metal,37.0,0.187,0.938,-3.635,0.0658,2.25e-05,1,0.231,0.423,133.635,349467.0,4
Willie Nelson,Blue Skies,4,Country,51.0,0.381,0.335,-12.797,0.0362,0.207,1,0.1,0.259,83.792,3.557333333,4
John Henriksson,The Distance,7,Instrumental,45.0,0.375,0.131,-19.125,0.033,0.946,1,0.111,0.0366,64.128,2.591916667,4
R.L. Beats,Ill Die for U,6,Indie,29.0,0.924,0.247,-9.562,0.0711,0.0491,1,0.0894,0.341,119.979,147000.0,4
Tame Impala,Alter Ego - 2020 Mix,6,Indie,58.0,0.408,0.903,-2.924,0.0561,0.00256,1,0.117,0.368,128.942,289867.0,4
Liza Anne,"1,000 Years",0,Acoustic/Folk,48.0,0.437,0.301,-8.519,0.0384,0.645,1,0.117,0.203,126.016,3.65,4
Altered Five Blues Band,Mischief Man,2,Blues,29.0,0.669,0.852,-5.718,0.0549,0.409,1,0.335,0.851,111.028,198603.0,4
Yuni Wa,Satellite,6,Indie,37.0,0.612,0.942,-6.472,0.43,0.0193,1,0.0993,0.83,128.007,142567.0,4
